    40/299     2.96G   0.05642    0.1126   0.03658    0.2056        83       640    0.5647    0.3798     0.301    0.1338   0.04823    0.3572    0.0385
    41/299     2.96G   0.05487    0.1165   0.03712    0.2085       129       640    0.6284    0.3755     0.364    0.1915   0.04631    0.3558   0.03829
    42/299     2.96G   0.05238    0.1169   0.03721    0.2065       127       640    0.6248    0.3924    0.3446    0.1867   0.04074    0.3542   0.03765
    43/299     2.96G   0.05317    0.1081   0.03601    0.1973        86       640    0.6212    0.3642    0.3602    0.1835   0.04461    0.3627   0.03762
    44/299     2.96G   0.05271    0.1108   0.03488    0.1984       120       640    0.6291    0.4022    0.3648    0.2175   0.04163    0.3479   0.03751
    45/299     2.96G    0.0521    0.1069   0.03373    0.1928        79       640    0.5593    0.2885    0.2708   0.06752   0.06357    0.4007   0.03724
    46/299     2.96G   0.06004    0.1273   0.03447    0.2218        98       640    0.7117    0.3009    0.3248    0.1661   0.04637    0.3747   0.03783
    47/299     2.96G   0.05944    0.1257   0.03621    0.2213       113       640    0.5714    0.3495    0.3556    0.1438   0.05332    0.3819   0.03724
    48/299     2.96G   0.05845    0.1214   0.03604    0.2158       107       640    0.6106    0.3192    0.3154   0.09492   0.05812    0.3767   0.03697
    49/299     2.96G   0.06026    0.1129   0.03557    0.2087       114       640     0.724    0.3369    0.3762    0.1728   0.04822    0.3668   0.03706
    50/299     2.96G   0.06422      0.11    0.0325    0.2067        66       640    0.7148    0.3093    0.3605    0.2048   0.04845    0.3583   0.03667
    51/299     2.96G   0.05646    0.1066   0.03619    0.1993        93       640    0.7653    0.2703    0.3344    0.1289   0.04723    0.3592   0.03621
    52/299     2.96G   0.05797    0.1138   0.03409    0.2058        79       640    0.8062    0.2922    0.3713    0.1945    0.0454    0.3586   0.03595
    53/299     2.96G    0.0547    0.1117   0.03297    0.1994        92       640    0.8002    0.2916     0.366    0.2069   0.04681    0.3573   0.03589
    54/299     2.96G   0.05573    0.1162    0.0334    0.2053        74       640    0.7794    0.2626    0.3522    0.1755   0.05177    0.3659   0.03574
    55/299     2.96G    0.0538    0.1119   0.03303    0.1987        88       640    0.1148    0.8079    0.3389    0.1566    0.0467     0.362   0.03568
    56/299     2.96G    0.0545    0.1122   0.03368    0.2004        91       640    0.9316    0.2713    0.3962     0.226    0.0442    0.3576   0.03528
    57/299     2.96G   0.05692    0.1099   0.03242    0.1992       100       640    0.3425    0.5547    0.3359    0.1572   0.06059    0.3746   0.03505
    58/299     2.96G   0.05663    0.1047    0.0322    0.1935        79       640    0.9515    0.2705    0.3873    0.2148   0.04091    0.3516   0.03491
    59/299     2.96G   0.05414    0.1135    0.0327    0.2003       112       640    0.4121    0.5263    0.3756    0.2188   0.04522    0.3536   0.03476
    60/299     2.96G   0.05404    0.1109   0.03443    0.1993       133       640     0.472    0.4826    0.3663    0.1761   0.04565    0.3551   0.03436
    61/299     2.96G   0.05174    0.1065   0.03264    0.1909        55       640    0.3331    0.5316     0.405     0.221   0.04229      0.35    0.0343
    62/299     2.96G   0.05336    0.1072   0.03152    0.1921        79       640    0.4639    0.4704    0.3863    0.1992   0.04843     0.352   0.03425
    63/299     2.96G   0.05539    0.1068   0.03073     0.193       103       640    0.4195    0.5241    0.3542    0.1866   0.05174     0.382   0.03396
    64/299     2.96G   0.04901     0.108     0.031     0.188       132       640    0.4789    0.5538    0.4224    0.2606   0.03824    0.3419   0.03367
    65/299     2.96G   0.04979      0.11    0.0323    0.1921        61       640    0.4744     0.487      0.41    0.2178   0.04369    0.3527   0.03339
    66/299     2.96G   0.04928    0.1056   0.03253    0.1874        90       640    0.1747     0.622    0.3538    0.1512   0.04904    0.3643   0.03317
